doc_id,doc_url,doc_title,output_file,tokens_used,timestamp
1orD1bfVLpzX8eYSd872s7KsL7hkGaqMWbT_badDZ3wY,https://docs.google.com/document/d/1orD1bfVLpzX8eYSd872s7KsL7hkGaqMWbT_badDZ3wY/edit,CAJ_CRISTO_IIEE_COORD-CIST_MSE, TIC_ENTREVISTA-PARTE-1 - Documentos de Google,output/caj_cristo_iiee_coord_cist_mse_tic_entrevista.md,8248,2025-12-18 13:25:51
185nyILV-5HieQiPiMfH_IRI2HkMaj0xYAytiX-4OvLs,https://docs.google.com/document/d/185nyILV-5HieQiPiMfH_IRI2HkMaj0xYAytiX-4OvLs/edit,CAJ_CRISTO_IIEE_COORD-TOE_HSE_ENTREVISTA - Documentos de Google,output/caj_cristo_iiee_coord_toe_hse_entrevista.md,7893,2025-12-18 13:32:11
1B83ko-G_auL-DX2J1R9cPayG0G9YZWtgeETodaBKz4A,https://docs.google.com/document/d/1B83ko-G_auL-DX2J1R9cPayG0G9YZWtgeETodaBKz4A/edit,CAJ_CRISTO_IIEE_DIR_HSE_ENTREVISTA - Documentos de Google,output/caj_cristo_iiee_dir_hse_entrevista_documentos_de.md,8145,2025-12-18 13:33:54
1Xe5DNac3-w0ssMbeA-lorooJyIgmbeGnNO7tsRJ7bx4,https://docs.google.com/document/d/1Xe5DNac3-w0ssMbeA-lorooJyIgmbeGnNO7tsRJ7bx4/edit,CAJ_CRISTO_IIEE_DOC-NOTUTOR-A_HSE_ENTREVISTA - Documentos de Google,output/caj_cristo_iiee_doc_notutor_a_hse_entrevista.md,9224,2025-12-18 13:49:53
1fBRARTrwHB5hjB-JdhonWVLq-3unCi2OpP995Yj_bao,https://docs.google.com/document/d/1fBRARTrwHB5hjB-JdhonWVLq-3unCi2OpP995Yj_bao/edit,CAJ_CRISTO_IIEE_DOC-NOTUTOR-A_TIC_ENTREVISTA - Documentos de Google,output/caj_cristo_iiee_doc_notutor_a_tic_entrevista.md,8139,2025-12-18 13:51:30
10BpXw1BI1yOYI_GU61uXO3WGL2Jh0t_AXFchiCBhrw8,https://docs.google.com/document/d/10BpXw1BI1yOYI_GU61uXO3WGL2Jh0t_AXFchiCBhrw8/edit,CAJ_CRISTO_IIEE_DOC-NOTUTOR-C_TIC_ENTREVISTA - Documentos de Google,output/caj_cristo_iiee_doc_notutor_c_tic_entrevista.md,6534,2025-12-18 13:52:58
1dBL7krb2C_extPzQ6BG6Xr416UT-0jTasxxgkZPpC5Y,https://docs.google.com/document/d/1dBL7krb2C_extPzQ6BG6Xr416UT-0jTasxxgkZPpC5Y/edit,CAJ_CRISTO_IIEE_DOC-NOTUTOR-D_TIC_ENTREVISTA-PARTE-1 - Documentos de Google,output/caj_cristo_iiee_doc_notutor_d_tic_entrevista.md,4103,2025-12-18 13:54:24
1U-TCTZZCc1xYSXm8VhRAF-WjAMYgLiAqHB0-kvcKiTE,https://docs.google.com/document/d/1U-TCTZZCc1xYSXm8VhRAF-WjAMYgLiAqHB0-kvcKiTE/edit,CAJ_CRISTO_IIEE_DOC-TUTOR-A_HSE_ENTREVISTA - Documentos de Google,output/caj_cristo_iiee_doc_tutor_a_hse_entrevista.md,5749,2025-12-18 13:55:53
1sDap5UifDTXzihoWzvCq4_lQ0SMbmXArXmcESvH-7Mw,https://docs.google.com/document/d/1sDap5UifDTXzihoWzvCq4_lQ0SMbmXArXmcESvH-7Mw/edit,CAJ_CRISTO_IIEE_EST_MSE, HSE, TIC_GRUPO-FOCAL - Documentos de Google,output/caj_cristo_iiee_est_mse_hse_tic_grupo_focal.md,25571,2025-12-18 13:57:51
1S2QcoUtKRfGSeM7WRqYb4w4fSgivL9jIKFrPCFI-SWE,https://docs.google.com/document/d/1S2QcoUtKRfGSeM7WRqYb4w4fSgivL9jIKFrPCFI-SWE/edit,CAJ_CRISTO_IIEE_FAM_MSE, HSE, TIC_GRUPO-FOCAL - Documentos de Google,output/caj_cristo_iiee_fam_mse_hse_tic_grupo_focal.md,16762,2025-12-18 13:59:39
1ZkMv0PUNI4-uURldKFc67Vz5qG8_P7AoMByVrQhO3SQ,https://docs.google.com/document/d/1ZkMv0PUNI4-uURldKFc67Vz5qG8_P7AoMByVrQhO3SQ/edit,CAJ_CRISTO_IIEE_PSIC_HSE_ENTREVISTA - Documentos de Google,output/caj_cristo_iiee_psic_hse_entrevista_documentos_de.md,11866,2025-12-18 14:01:38
1gqgTQNDMWDRnmCv22pRMu-Dd7jo6ImpEk_jxfrea_6M,https://docs.google.com/document/d/1gqgTQNDMWDRnmCv22pRMu-Dd7jo6ImpEk_jxfrea_6M/edit,CAJ_MANUE_IIEE_COORD-CIST_MSE, TIC_ENTREVISTA-PARTE-1 - Documentos de Google,output/caj_manue_iiee_coord_cist_mse_tic_entrevista.md,5370,2025-12-18 14:03:05
10OP92j39cKfASk3_ZySXEPcDRjgGxQo8JHNzx7R81GU,https://docs.google.com/document/d/10OP92j39cKfASk3_ZySXEPcDRjgGxQo8JHNzx7R81GU/edit,CAJ_MANUE_IIEE_COORD-PED_MSE, TIC_ENTREVISTA - Documentos de Google,output/caj_manue_iiee_coord_ped_mse_tic_entrevista.md,16457,2025-12-18 14:04:52
1ma-ZWzRzIhkKH_rHoWo2bJOviYB6ZFvKTq7Cg9sf024,https://docs.google.com/document/d/1ma-ZWzRzIhkKH_rHoWo2bJOviYB6ZFvKTq7Cg9sf024/edit,CAJ_MANUE_IIEE_COORD-TOE_HSE_ENTREVISTA - Documentos de Google,output/caj_manue_iiee_coord_toe_hse_entrevista.md,9746,2025-12-18 14:06:46
1n1xe05LXxB7aukHAA41g1DyrhY5HKXM2Pvg8qokQlPA,https://docs.google.com/document/d/1n1xe05LXxB7aukHAA41g1DyrhY5HKXM2Pvg8qokQlPA/edit,CAJ_MANUE_IIEE_COORD-TOE_MSE_ENTREVISTA - Documentos de Google,output/caj_manue_iiee_coord_toe_mse_entrevista.md,15264,2025-12-18 14:08:41
1kUtO2SwiAF_KcqyKC1uHNASXorL3NXU6yYWr7vdPe6Y,https://docs.google.com/document/d/1kUtO2SwiAF_KcqyKC1uHNASXorL3NXU6yYWr7vdPe6Y/edit,CAJ_MANUE_IIEE_DIR_HSE_ENTREVISTA - Documentos de Google,output/caj_manue_iiee_dir_hse_entrevista_documentos_de.md,6158,2025-12-18 14:10:22
